Isolate location	Isolate location category	Mapped Ontology Term IRI	Mapped Ontology Term Label
France: Beauvais	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
France: Der-Chantecoq Lake	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
France: Marne	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
France: Marne, Der-La Cornue	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
France: Marne, Der-Larzicourt	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
France: Strasbourg	France	http://purl.obolibrary.org/obo/GAZ_00002940	French Republic
Ghana: Accra	Ghana	http://purl.obolibrary.org/obo/GAZ_00000908	Ghana
Guadeloupe	Guadeloupe	http://purl.obolibrary.org/obo/GAZ_00067142	Guadeloupe Region (not a country,An overseas Region of France.)
Guadeloupe: DFO, Grand-Terre	Guadeloupe	http://purl.obolibrary.org/obo/GAZ_00067142	Guadeloupe Region (not a country,An overseas Region of France.)
Guadeloupe: Grand Camp, Basse-Terre	Guadeloupe	http://purl.obolibrary.org/obo/GAZ_00067142	Guadeloupe Region (not a country,An overseas Region of France.)
Iceland: Botnsvatn	Iceland	http://purl.obolibrary.org/obo/GAZ_00000843	Iceland
Iceland: Botsvatn Lake	Iceland	http://purl.obolibrary.org/obo/GAZ_00000843	Iceland
Iceland: Helgavogur-Myvatn	Iceland	http://purl.obolibrary.org/obo/GAZ_00000843	Iceland
Iceland: Raudavatn	Iceland	http://purl.obolibrary.org/obo/GAZ_00000843	Iceland
Iran: Ahwaz, Khuzestan province	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Fereydoon Kenar	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Khuzestan	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran: Sari	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Iran:Sari	Iran	http://purl.obolibrary.org/obo/GAZ_00004474	Iran
Japan: Yamanashi	Japan	http://purl.obolibrary.org/obo/GAZ_00002747	Japan
Kenya: ADC Farms, Kisumu	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Adupe, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Asao Stream	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Asembo Bay, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Car Wash, Kisumu, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Coastal Kenya	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Homa Bay	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Homa Bay, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kagwell Beach, Lake Victoria	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kalina Koi, Kibwezi	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kasabong Stream	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
Kenya: Kisukioni	Kenya	http://purl.obolibrary.org/obo/GAZ_00001101	Kenya
