Isolate host	Isolate host category	Mapped Ontology Term IRI	Mapped Ontology Term Label
Bos taurus (cattle no. 50)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 57)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 63)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 64)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 65)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 7)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 74)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 8)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 86)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 87)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 9)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 90)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 93)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle no. 97)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (cattle)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (domestic cow)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (Holstein calf)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (Holstein cow)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus (Watusi)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus bleed Holstein	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Angus, isolate 10 (ToSM2)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
Bos taurus breed Angus, isolate 13 (ToSM1)	cow	http://purl.obolibrary.org/obo/NCBITaxon_9913	Bos taurus
