file,uniqueVar,dataSet,variable,values,mappedTerms,valueOrder,dataFile,variable_dataFile,boolean,notes
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.yyy,WWARN_ACT,marker.group_pfmdr1.yyy,pfmdr1 YYY,pfmdr1 YYY,,wwarn_act_wide,marker.group_pfmdr1.YYY,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.nfd,WWARN_ACT,marker.group_pfmdr1.nfd,pfmdr1 NFD,pfmdr1 NFD,,wwarn_act_wide,marker.group_pfmdr1.NFD,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.1034s.c,WWARN_ACT,marker.group_pfmdr1.1034s.c,pfmdr1 1034S/C,pfmdr1 1034S/C,,wwarn_act_wide,marker.group_pfmdr1.1034S.C,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfcrt.i218f,WWARN_ACT,marker.group_pfcrt.i218f,pfcrt I218F,pfcrt I218F,,wwarn_act_wide,marker.group_pfcrt.I218F,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.nfcdd,WWARN_ACT,marker.group_pfmdr1.nfcdd,pfmdr1 NxxxD,pfmdr1 NxxxD,,wwarn_act_wide,marker.group_pfmdr1.NFCDD,,
WWARN_ACT_Wide.csv,wwarn_act_wide::marker.group_pfmdr1.nfcnd,WWARN_ACT,marker.group_pfmdr1.nfcnd,pfmdr1 NxxxD,pfmdr1 NxxxD,,wwarn_act_wide,marker.group_pfmdr1.NFCND,,
WWARN_ACT_Wide.csv,wwarn_act_wide::included.or.excluded_pfcrt.smnt,WWARN_ACT,included.or.excluded_pfcrt.smnt,E,Excluded from analysis,,wwarn_act_wide,included.or.excluded_pfcrt.SMNT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::included.or.excluded_pfcrt.smnt,WWARN_ACT,included.or.excluded_pfcrt.smnt,I,Included in count of pure infections,,wwarn_act_wide,included.or.excluded_pfcrt.SMNT,,
WWARN_ACT_Wide.csv,wwarn_act_wide::included.or.excluded_pfmdr1.86y,WWARN_ACT,included.or.excluded_pfmdr1.86y,E,Excluded from analysis,,wwarn_act_wide,included.or.excluded_pfmdr1.86Y,,
WWARN_ACT_Wide.csv,wwarn_act_wide::included.or.excluded_pfmdr1.86y,WWARN_ACT,included.or.excluded_pfmdr1.86y,I,Included in count of pure infections,,wwarn_act_wide,included.or.excluded_pfmdr1.86Y,,
