IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0049150,First dose of trial treatment given,WOMAN_Trial_dataset_anonymised::trialtreatdose1,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,first dose of trial treatment given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049121,Injectable prostaglandins,WOMAN_Trial_dataset_anonymised::prostaglandins,,WOMAN_Trial_dataset_anonymised,Injectable prostaglandins administered after diagnosis of postpartum haemorrhage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,injectable prostaglandins administered after diagnosis of postpartum haemorrhage,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049110,Intrauterine tamponade,WOMAN_Trial_dataset_anonymised::intrauterinetamponade,,WOMAN_Trial_dataset_anonymised,Intrauterine tamponade performed,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: intrauterine tamponade performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049111,Laparotomy,WOMAN_Trial_dataset_anonymised::laparotomy,,WOMAN_Trial_dataset_anonymised,Laparotomy performed,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: laparotomy performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049112,Manual removal of placenta,WOMAN_Trial_dataset_anonymised::manualremovalofplacenta,,WOMAN_Trial_dataset_anonymised,Manual removal of placenta performed,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: manual removal of placenta performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0033450,Mechanical ventilation,WOMAN_Trial_dataset_anonymised::mechanicalventilation,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: mechanical ventilation performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049113,Misoprostol administered,WOMAN_Trial_dataset_anonymised::misoprostol,,WOMAN_Trial_dataset_anonymised,Misoprostol administered after diagnosis of postpartum haemorrhage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,misoprostol administered after diagnosis of postpartum haemorrhage,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049116,Oxytocin administered,WOMAN_Trial_dataset_anonymised::oxytocin,,WOMAN_Trial_dataset_anonymised,Oxytocin administered after diagnosis of postpartum haemorrhage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,oxytocin administered after diagnosis of postpartum haemorrhage,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049134,Prophylactic uterotonics adminstered,WOMAN_Trial_dataset_anonymised::uteroproph,,WOMAN_Trial_dataset_anonymised,Prophylactic uterotonics adminstered,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,prophylactic uterotonics adminstered,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049151,Second dose of trial treatment given,WOMAN_Trial_dataset_anonymised::trialtreatdose2,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,second dose of trial treatment given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049132,Transfusion of blood products,WOMAN_Trial_dataset_anonymised::transfusion,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,transfusion of blood products given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049119,Units of fresh frozen plasma,WOMAN_Trial_dataset_anonymised::plasma,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,units of fressh frozen plasma given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049155,Units of non-blood products given,WOMAN_Trial_dataset_anonymised::otherbp,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,units of other blood products given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049154,Units of whole blood/packed cells given,WOMAN_Trial_dataset_anonymised::cells,,WOMAN_Trial_dataset_anonymised,,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,units of whole blood/packed cells given,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049102,Uterine arterial ligation,WOMAN_Trial_dataset_anonymised::arteryligation,,WOMAN_Trial_dataset_anonymised,Rrterial ligation performed,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,patient management: arterial ligation performed,,variable,,,,WOMAN,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0049135,Uterotonics administered,WOMAN_Trial_dataset_anonymised::uterotonicsadministered,,WOMAN_Trial_dataset_anonymised,Uterotonics administered after diagnosis of postpartum haemorrhage,Participant,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,uterotonics administered after diagnosis of postpartum haemorrhage,,variable,,,,WOMAN,,,,,,,,,
