variable	variable2	values	mappedTerms	valueOrder
ext_crypt_sb_btest::qj_cd120	ext_crypt_sb_btest::qj_cd120	NA	NA	
ext_crypt_sb_btest::qj_hd120	ext_crypt_sb_btest::qj_hd120	NA	NA	
ext_crypt_sb_btest::qj_mt120	ext_crypt_sb_btest::qj_mt120	NA	NA	
ext_crypt_sb_btest::qk_cd140	ext_crypt_sb_btest::qk_cd140	NA	NA	
ext_crypt_sb_btest::qk_hd140	ext_crypt_sb_btest::qk_hd140	NA	NA	
ext_crypt_sb_btest::qk_mt140	ext_crypt_sb_btest::qk_mt140	NA	NA	
ext_crypt_sb_btest::ql_cd160	ext_crypt_sb_btest::ql_cd160	NA	NA	
ext_crypt_sb_btest::ql_hd160	ext_crypt_sb_btest::ql_hd160	NA	NA	
ext_crypt_sb_btest::ql_mt160	ext_crypt_sb_btest::ql_mt160	NA	NA	
ext_crypt_sb_btest::qm_cd180	ext_crypt_sb_btest::qm_cd180	NA	NA	
ext_crypt_sb_btest::qm_hd180	ext_crypt_sb_btest::qm_hd180	NA	NA	
ext_crypt_sb_btest::qm_mt180	ext_crypt_sb_btest::qm_mt180	NA	NA	
ext_crypt_sb_btest::wt	ext_crypt_sb_btest::wt	NA	NA	
ext_crypt_sb_btestr::dop	ext_crypt_sb_btestr::dop	NA	NA	
ext_crypt_sb_btestr::ht	ext_crypt_sb_btestr::ht	NA	NA	
ext_crypt_sb_btestr::q4a	ext_crypt_sb_btestr::q4a	NA	NA	
ext_crypt_sb_btestr::q4b_cd	ext_crypt_sb_btestr::q4b_cd	NA	NA	
ext_crypt_sb_btestr::q4b_hd	ext_crypt_sb_btestr::q4b_hd	NA	NA	
ext_crypt_sb_btestr::q4b_mt	ext_crypt_sb_btestr::q4b_mt	NA	NA	
ext_crypt_sb_btestr::q4c	ext_crypt_sb_btestr::q4c	NA	NA	
ext_crypt_sb_btestr::q4d	ext_crypt_sb_btestr::q4d	NA	NA	
ext_crypt_sb_btestr::q5b	ext_crypt_sb_btestr::q5b	NA	NA	
ext_crypt_sb_btestr::qe_cd20	ext_crypt_sb_btestr::qe_cd20	NA	NA	
ext_crypt_sb_btestr::qe_hd20	ext_crypt_sb_btestr::qe_hd20	NA	NA	
ext_crypt_sb_btestr::qe_mt20	ext_crypt_sb_btestr::qe_mt20	NA	NA	
ext_crypt_sb_btestr::qf_cd40	ext_crypt_sb_btestr::qf_cd40	NA	NA	
ext_crypt_sb_btestr::qf_hd40	ext_crypt_sb_btestr::qf_hd40	NA	NA	
ext_crypt_sb_btestr::qf_mt40	ext_crypt_sb_btestr::qf_mt40	NA	NA	
ext_crypt_sb_btestr::qg_cd60	ext_crypt_sb_btestr::qg_cd60	NA	NA	
ext_crypt_sb_btestr::qg_hd60	ext_crypt_sb_btestr::qg_hd60	NA	NA	
ext_crypt_sb_btestr::qg_mt60	ext_crypt_sb_btestr::qg_mt60	NA	NA	
ext_crypt_sb_btestr::qh_cd80	ext_crypt_sb_btestr::qh_cd80	NA	NA	
ext_crypt_sb_btestr::qh_hd80	ext_crypt_sb_btestr::qh_hd80	NA	NA	
ext_crypt_sb_btestr::qh_mt80	ext_crypt_sb_btestr::qh_mt80	NA	NA	
ext_crypt_sb_btestr::qi_cd100	ext_crypt_sb_btestr::qi_cd100	NA	NA	
ext_crypt_sb_btestr::qi_hd100	ext_crypt_sb_btestr::qi_hd100	NA	NA	
ext_crypt_sb_btestr::qi_mt100	ext_crypt_sb_btestr::qi_mt100	NA	NA	
ext_crypt_sb_btestr::qj_cd120	ext_crypt_sb_btestr::qj_cd120	NA	NA	
ext_crypt_sb_btestr::qj_hd120	ext_crypt_sb_btestr::qj_hd120	NA	NA	
ext_crypt_sb_btestr::qj_mt120	ext_crypt_sb_btestr::qj_mt120	NA	NA	
