variable	variable2	values	mappedTerms	valueOrder
gems1_huas_lite_data_6_sites::max_stools	gems1_huas_lite_data_6_sites::max_stools	4	Don't know	4
gems1_huas_lite_data_kenya::mod_severe	gems1_huas_lite_data_kenya::mod_severe	1	Moderate to severe diarrhea	3
gems1_huas_lite_data_kenya::mod_severe	gems1_huas_lite_data_kenya::mod_severe	2	Had diarrhea, not moderate to severe	2
gems1_huas_lite_data_kenya::mod_severe	gems1_huas_lite_data_kenya::mod_severe	3	No diarrhea in the last 2 weeks	1
gems1_huas_data::mod_severe	gems1_huas_data::mod_severe	1	Moderate to severe diarrhea	3
gems1_huas_data::mod_severe	gems1_huas_data::mod_severe	2	Had diarrhea, not moderate to severe	2
gems1_huas_data::mod_severe	gems1_huas_data::mod_severe	3	No diarrhea in the last 2 weeks	1
gems1_huas_data::mom_live	gems1_huas_data::mom_live	1	Lives in household	1
gems1_huas_data::mom_live	gems1_huas_data::mom_live	2	Abroad	2
gems1_huas_data::mom_live	gems1_huas_data::mom_live	3	Died	5
gems1_huas_data::mom_live	gems1_huas_data::mom_live	4	Lives outside of household	3
gems1_huas_data::mom_live	gems1_huas_data::mom_live	5	Whereabouts unknown	4
gems1_huas_data::mst_dangr	gems1_huas_data::mst_dangr	1	Simple loose/watery diarrhea	1
gems1_huas_data::mst_dangr	gems1_huas_data::mst_dangr	2	Bloody diarrhea	2
gems1_huas_data::mst_dangr	gems1_huas_data::mst_dangr	3	Rice watery/cholera-like illness	3
gems1_huas_data::mst_dangr	gems1_huas_data::mst_dangr	4	Don't know	4
gems1_huas_data::nohosp	gems1_huas_data::nohosp	0	:::UNDEF:::	
gems1_huas_data::nohosp	gems1_huas_data::nohosp	1	Hospital too far from home	1
gems1_huas_data::nohosp	gems1_huas_data::nohosp	2	Unable to find transport	2
gems1_huas_data::nohosp	gems1_huas_data::nohosp	3	Cost for travel too high	3
gems1_huas_data::nohosp	gems1_huas_data::nohosp	4	Could not take time off from work	4
gems1_huas_data::nohosp	gems1_huas_data::nohosp	5	Local situtation	5
gems1_huas_data::nohosp	gems1_huas_data::nohosp	6	Cost for treatment too high	6
gems1_huas_data::nohosp	gems1_huas_data::nohosp	7	Other children at home could not be left alone	7
gems1_huas_data::nohosp	gems1_huas_data::nohosp	8	Did not think child was sick enough	8
gems1_huas_data::nohosp	gems1_huas_data::nohosp	9	Not happy with care provided at the hospital	9
gems1_huas_data::nohosp	gems1_huas_data::nohosp	10	Other	10
gems1_huas_data::notagree	gems1_huas_data::notagree	0	:::UNDEF:::	
gems1_huas_data::notagree	gems1_huas_data::notagree	1	Hospital too far from home	1
gems1_huas_data::notagree	gems1_huas_data::notagree	2	Unable to find transport	2
gems1_huas_data::notagree	gems1_huas_data::notagree	3	Cost for travel too high	3
gems1_huas_data::notagree	gems1_huas_data::notagree	4	Cannot take time off work	4
gems1_huas_data::notagree	gems1_huas_data::notagree	5	Most diarrheas are not serious enough	5
gems1_huas_data::notagree	gems1_huas_data::notagree	6	Local situation	6
gems1_huas_data::notagree	gems1_huas_data::notagree	7	Cost for treatment too high	7
gems1_huas_data::notagree	gems1_huas_data::notagree	8	Other children at home could not be left alone	8
gems1_huas_data::notagree	gems1_huas_data::notagree	9	Not confident about the care from the center	9
gems1_huas_data::notagree	gems1_huas_data::notagree	10	Not happy with care provided at the hospital	10
gems1_huas_data::notagree	gems1_huas_data::notagree	11	Other	11
gems1_huas_lite_data_6_sites::offer_drink	gems1_huas_lite_data_6_sites::offer_drink	1	More than usual	4
gems1_huas_lite_data_6_sites::offer_drink	gems1_huas_lite_data_6_sites::offer_drink	2	Usual	3
gems1_huas_lite_data_6_sites::offer_drink	gems1_huas_lite_data_6_sites::offer_drink	3	Less than usual	2
gems1_huas_lite_data_6_sites::offer_drink	gems1_huas_lite_data_6_sites::offer_drink	4	Nothing to drink	1
gems1_huas_lite_data_kenya::offer_drink	gems1_huas_lite_data_kenya::offer_drink	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::offer_drink	gems1_huas_lite_data_kenya::offer_drink	1	More than usual	4
gems1_huas_lite_data_kenya::offer_drink	gems1_huas_lite_data_kenya::offer_drink	2	Usual	3
gems1_huas_lite_data_kenya::offer_drink	gems1_huas_lite_data_kenya::offer_drink	3	Less than usual	2
gems1_huas_lite_data_kenya::offer_drink	gems1_huas_lite_data_kenya::offer_drink	4	Nothing to drink	1
gems1_huas_lite_data_6_sites::offer_eat	gems1_huas_lite_data_6_sites::offer_eat	0	:::UNDEF:::	
gems1_huas_lite_data_6_sites::offer_eat	gems1_huas_lite_data_6_sites::offer_eat	1	More than usual	4
gems1_huas_lite_data_6_sites::offer_eat	gems1_huas_lite_data_6_sites::offer_eat	2	Usual	3
gems1_huas_lite_data_6_sites::offer_eat	gems1_huas_lite_data_6_sites::offer_eat	3	Less than usual	2
gems1_huas_lite_data_6_sites::offer_eat	gems1_huas_lite_data_6_sites::offer_eat	4	Nothing to eat	1
gems1_huas_lite_data_kenya::offer_eat	gems1_huas_lite_data_kenya::offer_eat	0	:::UNDEF:::	
gems1_huas_lite_data_kenya::offer_eat	gems1_huas_lite_data_kenya::offer_eat	1	More than usual	4
gems1_huas_lite_data_kenya::offer_eat	gems1_huas_lite_data_kenya::offer_eat	2	Usual	3
gems1_huas_lite_data_kenya::offer_eat	gems1_huas_lite_data_kenya::offer_eat	3	Less than usual	2
gems1_huas_lite_data_kenya::offer_eat	gems1_huas_lite_data_kenya::offer_eat	4	Nothing to eat	1
